date,year,month,day,port_name,country,import_volume_estimate,export_volume_estimate,vessel_call_count,port_id
2019-03-01 00:00:00+00:00,2019,3,1,CALCUTTA,India,0.0,0.0,0,0
2019-03-02 00:00:00+00:00,2019,3,2,CALCUTTA,India,0.0,0.0,0,0
2019-03-03 00:00:00+00:00,2019,3,3,CALCUTTA,India,0.0,0.0,0,0
2019-03-04 00:00:00+00:00,2019,3,4,CALCUTTA,India,0.0,0.0,0,0
2019-03-05 00:00:00+00:00,2019,3,5,CALCUTTA,India,0.0,0.0,0,0
2019-03-06 00:00:00+00:00,2019,3,6,CALCUTTA,India,0.0,0.0,0,0
2019-03-07 00:00:00+00:00,2019,3,7,CALCUTTA,India,0.0,0.0,0,0
2019-03-08 00:00:00+00:00,2019,3,8,CALCUTTA,India,0.0,0.0,0,0
2019-03-09 00:00:00+00:00,2019,3,9,CALCUTTA,India,0.0,0.0,0,0
2019-03-10 00:00:00+00:00,2019,3,10,CALCUTTA,India,0.0,0.0,0,0
2019-03-11 00:00:00+00:00,2019,3,11,CALCUTTA,India,0.0,0.0,0,0
2019-03-12 00:00:00+00:00,2019,3,12,CALCUTTA,India,0.0,0.0,0,0
2019-03-13 00:00:00+00:00,2019,3,13,CALCUTTA,India,0.0,0.0,0,0
2019-03-14 00:00:00+00:00,2019,3,14,CALCUTTA,India,0.0,0.0,0,0
2019-03-15 00:00:00+00:00,2019,3,15,CALCUTTA,India,0.0,0.0,0,0
2019-03-16 00:00:00+00:00,2019,3,16,CALCUTTA,India,0.0,0.0,0,0
2019-03-17 00:00:00+00:00,2019,3,17,CALCUTTA,India,0.0,0.0,0,0
2019-03-18 00:00:00+00:00,2019,3,18,CALCUTTA,India,0.0,0.0,0,0
2019-03-19 00:00:00+00:00,2019,3,19,CALCUTTA,India,0.0,0.0,0,0
2019-03-20 00:00:00+00:00,2019,3,20,CALCUTTA,India,0.0,0.0,0,0
2019-03-21 00:00:00+00:00,2019,3,21,CALCUTTA,India,0.0,0.0,0,0
