month,port,commodity,bdry,brent,import_volume,export_volume,vessel_calls,has_portwatch_coverage,trade_signal,has_trade_signal,bdry_lag1,bdry_lag2,bdry_lag3,bdry_rolling_3m_avg,brent_lag1,trade_signal_lag1,trade_signal_yoy_growth,month_num,quarter,target_rate,target_delta,target_rate_h1,target_delta_h1,target_rate_h2,target_delta_h2,target_rate_h3,target_delta_h3,_vol_pctile,_shock_pctile,_trend_pctile,_congestion_pctile,_data_uncertainty,risk_score,target_risk
2018-06-01,Chennai,Bulk Minerals & Ores,21.713199869791666,74.354,0.0,0.0,0.0,False,21515.91,1.0,21.552741942867154,21.616866874694825,23.845600128173828,22.338402981911937,76.83967741935484,19897.620000000003,0.0,6,2,23.35909677320911,1.8063548303419559,23.35909677320911,1.8063548303419559,25.203032278245495,3.6502903353783402,23.45619996388753,1.903458021020377,0.06818181818181818,0.06666666666666667,0.045454545454545456,0.5,1.0,0.24401515151515152,low
2018-06-01,Chennai,Coal,21.713199869791666,74.354,0.0,0.0,0.0,False,0.0,0.0,21.552741942867154,21.616866874694825,23.845600128173828,22.338402981911937,76.83967741935484,0.0,0.0,6,2,23.35909677320911,1.8063548303419559,23.35909677320911,1.8063548303419559,25.203032278245495,3.6502903353783402,23.45619996388753,1.903458021020377,0.06818181818181818,0.06666666666666667,0.045454545454545456,0.5,1.0,0.24401515151515152,low
2018-06-01,Chennai,Iron Ore,21.713199869791666,74.354,0.0,0.0,0.0,False,0.0,0.0,21.552741942867154,21.616866874694825,23.845600128173828,22.338402981911937,76.83967741935484,0.0,0.0,6,2,23.35909677320911,1.8063548303419559,23.35909677320911,1.8063548303419559,25.203032278245495,3.6502903353783402,23.45619996388753,1.903458021020377,0.06818181818181818,0.06666666666666667,0.045454545454545456,0.5,1.0,0.24401515151515152,low
2018-06-01,Dhamra,Bulk Minerals & Ores,21.713199869791666,74.354,0.0,0.0,0.0,False,21515.91,1.0,21.552741942867154,21.616866874694825,23.845600128173828,22.338402981911937,76.83967741935484,19897.620000000003,0.0,6,2,23.35909677320911,1.8063548303419559,23.35909677320911,1.8063548303419559,25.203032278245495,3.6502903353783402,23.45619996388753,1.903458021020377,0.06818181818181818,0.06666666666666667,0.045454545454545456,0.5,1.0,0.24401515151515152,low
2018-06-01,Dhamra,Coal,21.713199869791666,74.354,0.0,0.0,0.0,False,0.0,0.0,21.552741942867154,21.616866874694825,23.845600128173828,22.338402981911937,76.83967741935484,0.0,0.0,6,2,23.35909677320911,1.8063548303419559,23.35909677320911,1.8063548303419559,25.203032278245495,3.6502903353783402,23.45619996388753,1.903458021020377,0.06818181818181818,0.06666666666666667,0.045454545454545456,0.5,1.0,0.24401515151515152,low
2018-06-01,Dhamra,Iron Ore,21.713199869791666,74.354,0.0,0.0,0.0,False,0.0,0.0,21.552741942867154,21.616866874694825,23.845600128173828,22.338402981911937,76.83967741935484,0.0,0.0,6,2,23.35909677320911,1.8063548303419559,23.35909677320911,1.8063548303419559,25.203032278245495,3.6502903353783402,23.45619996388753,1.903458021020377,0.06818181818181818,0.06666666666666667,0.045454545454545456,0.5,1.0,0.24401515151515152,low
2018-06-01,Gangavaram,Bulk Minerals & Ores,21.713199869791666,74.354,0.0,0.0,0.0,False,21515.91,1.0,21.552741942867154,21.616866874694825,23.845600128173828,22.338402981911937,76.83967741935484,19897.620000000003,0.0,6,2,23.35909677320911,1.8063548303419559,23.35909677320911,1.8063548303419559,25.203032278245495,3.6502903353783402,23.45619996388753,1.903458021020377,0.06818181818181818,0.06666666666666667,0.045454545454545456,0.5,1.0,0.24401515151515152,low
2018-06-01,Gangavaram,Coal,21.713199869791666,74.354,0.0,0.0,0.0,False,0.0,0.0,21.552741942867154,21.616866874694825,23.845600128173828,22.338402981911937,76.83967741935484,0.0,0.0,6,2,23.35909677320911,1.8063548303419559,23.35909677320911,1.8063548303419559,25.203032278245495,3.6502903353783402,23.45619996388753,1.903458021020377,0.06818181818181818,0.06666666666666667,0.045454545454545456,0.5,1.0,0.24401515151515152,low
2018-06-01,Gangavaram,Iron Ore,21.713199869791666,74.354,0.0,0.0,0.0,False,0.0,0.0,21.552741942867154,21.616866874694825,23.845600128173828,22.338402981911937,76.83967741935484,0.0,0.0,6,2,23.35909677320911,1.8063548303419559,23.35909677320911,1.8063548303419559,25.203032278245495,3.6502903353783402,23.45619996388753,1.903458021020377,0.06818181818181818,0.06666666666666667,0.045454545454545456,0.5,1.0,0.24401515151515152,low
2018-06-01,Gopalpur,Bulk Minerals & Ores,21.713199869791666,74.354,0.0,0.0,0.0,False,21515.91,1.0,21.552741942867154,21.616866874694825,23.845600128173828,22.338402981911937,76.83967741935484,19897.620000000003,0.0,6,2,23.35909677320911,1.8063548303419559,23.35909677320911,1.8063548303419559,25.203032278245495,3.6502903353783402,23.45619996388753,1.903458021020377,0.06818181818181818,0.06666666666666667,0.045454545454545456,0.5,1.0,0.24401515151515152,low
